# TESS Quaternions downsampled to end-user cadences
# Sector: 	1
# Camera: 	4
# Cadence:	FFI
# This file contains TESS quaternions that have been downsampled from the TESS
# native 2-second exposures to the end-user product cadence (e.g .20s/120s/FFI)
# For more information See:
#     - The github repo that created this file at https://github.com/tylerapritchard/TESSQuats
#     - The TESS Instrument Handbook at https://archive.stsci.edu/missions-and-data/tess
#     - The original quaternion engineering files at https://archive.stsci.edu/missions-and-data/tess/data-products
# Please check the TESS Sector Data Release Notes at https://archive.stsci.edu/tess/tess_drn.html
# for information regarding the telescope pointing and tracking (in addition to other image quality information) as
# for some sectors/cameras alternative camera quaternions are substituted for a variety of programattic reasons.

# Column Descriptions:
# Cadence #: Cadence index from the source tpf
# MidTime: The exposure midpoint in spacecraft corrected time (i.e. tpf.time)
# TimeCorr: The Time Correction for spacecraft to Barycentric time at that cadence
# Quat_Start: The timestamp of the earliest quaternion used in the bin
# Quat_Stop: The timestamp of the last quaternion used in the bin
# Quat_MIN_FOM: The worst Figure of Merit from the source quaternions
# Quat_MIN_NUM_GSUSED: The lowest number of guide stars used in the source quaternions
# Quat_NBinned: The number of quaternions binned into this final result.
# Quat[1-4]_Med: The Quaternion #[1-4] median value from the binned values 
# Quat[1-4]_StdDev: The standard deviation of Quaternion #[1-4] binned values
# Quat[1-4]_SigClip: The Sigma-Clipped Standard Deviation of Quaternion #[1-4] binned values
# Quat[1-4]_CRM_Med: The Quaternion #[1-4] median value with the highest and lowest values excluded 

# Earth_Distance: Distance to Earth in Earth Radii 

# Earth_Camera_Angle: Angle of Earth from Camera Boresight in Degrees 

# Earth_Camera_Azimuth: Azimuth of Earth around Camera Boresight in Degrees 

# Moon_Distance: Distance to Moon in Earth Radii 

# Moon_Camera_Angle: Angle of Moon from Camera Boresight in Degrees 

# Moon_Camera_Azimuth: Azimuth of Moon around Camera Boresight in Degrees 

# Earth_Spacecraft_Angle: Angle of Earth from Spacecraft Boresight in Degrees 

# Earth_Spacecraft_Azimuth: Azimuth of Earth around Spacecraft Boresight in Degrees 

# Moon_Spacecraft_Angle: Angle of Moon from Sacecraft Boresight in Degrees 

# Moon_Spacecraft_Azimuth: Azimuth of Moon around Spacecraft Boresight in Degrees 

# FFIFile: The FFI file assosciated with this observing cadence
# Processing Date-Time: 2024-07-13

Cadence,MidTime,TimeCorr,Segment,Quat_Start,Quat_Stop,Quat_MIN_FOM,Quat_MIN_NUM_GSUSED,Quat_NBinned,Quat1_Med,Quat1_StdDev,Quat1_StdDev_SigClip,Quat2_Med,Quat2_StdDev,Quat2_StdDev_SigClip,Quat3_Med,Quat3_StdDev,Quat3_StdDev_SigClip,Quat4_Med,Quat4_StdDev,Quat4_StdDev_SigClip,Earth_Distance,Earth_Camera_Angle,Earth_Camera_Azimuth,Moon_Distance,Moon_Camera_Angle,Moon_Camera_Azimuth,Earth_Spacecraft_Angle,Earth_Spacecraft_Azimuth,Moon_Spacecraft_Angle,Moon_Spacecraft_Azimuth,FFIFile
0.0,1325.323974336618,0.0004682842409238219,1.0,1325.3131121785939,1325.3339223562346,236.0,198.0,900.0,-1.400336163149835e-06,1.1198900271538034e-06,1.1198900271538034e-06,-2.250170585616195e-08,1.2099580672639298e-06,1.1972168236453664e-06,-2.893495880724355e-06,8.881496651405681e-07,8.703180625597467e-07,0.9999999999936184,3.141027824287052e-12,2.569471812586079e-12,20.3395949761793,56.7522072488159,319.680235819021,61.9856623799602,81.9631623444208,230.801352671379,3.94266915721338,327.151431721363,28.7473558734787,327.151431721363,tess2018206192942-s0001-4-1-0120-s_ffi
1.0,1325.344807926582,0.0004685492313001305,1.0,1325.3339455043745,1325.3547556820154,236.0,198.0,900.0,-1.4271396106454151e-06,1.151473583133929e-06,1.151473583133929e-06,2.630986270555605e-08,1.1460546898642194e-06,1.1358312951685093e-06,-2.79664783642956e-06,1.2419753086351613e-06,1.2082010653579327e-06,0.9999999999942284,4.7596258807371765e-12,3.774414531823536e-12,20.556560185391,57.0006162920487,317.84694951745,62.4762629463177,81.9645813803369,230.752129938255,4.31017227762753,325.636227652931,28.7714596464857,325.636227652931,tess2018206195942-s0001-4-1-0120-s_ffi
2.0,1325.3656415177095,0.0004688153858296573,1.0,1325.3547788301553,1325.375589007796,236.0,198.0,900.0,-1.38842473986819e-06,1.0329982634436297e-06,7.421412658395774e-07,-5.676053417636465e-08,9.01133317851097e-07,8.36983123975846e-07,-2.8646138534326448e-06,1.4154228857573973e-06,1.1596153560990644e-06,0.9999999999942164,6.83245107207164e-12,3.3356965183522467e-12,20.7766606743965,57.2696077005199,316.0627415574,62.9643652412635,81.9714666856061,230.694973163757,4.66702687722935,324.151496121695,28.7949565927111,324.151496121695,tess2018206202942-s0001-4-1-0120-s_ffi
3.0,1325.3864751099131,0.00046908261720091105,1.0,1325.3756121559359,1325.3964223335752,236.0,199.0,900.0,-1.360898305059005e-06,1.0721153289212913e-06,8.337256780994349e-07,4.74286305723479e-08,1.0796887844206433e-06,9.722882087482225e-07,-2.809216719020135e-06,7.295691875646556e-07,6.222662923406932e-07,0.999999999994443,3.5275709996894662e-12,1.980054187465074e-12,20.9996761449503,57.5572526198417,314.327071243332,63.4497370653159,81.98350005929,230.630244972107,5.01332112064694,322.696648112082,28.8179224333732,322.696648112082,tess2018206205942-s0001-4-1-0120-s_ffi
4.0,1325.407308703136,0.00046935086720623076,1.0,1325.396445481715,1325.4172556593574,236.0,199.0,900.0,-1.3228947014511651e-06,1.0495598758436034e-06,1.0329776461132726e-06,1.4472875438958701e-08,1.0747416414137494e-06,8.700995537597642e-07,-2.78897697030139e-06,8.174169780415108e-07,8.13358074883378e-07,0.9999999999943014,2.8413815875805983e-12,2.273105423899314e-12,21.2253952994276,57.8617243595494,312.639234870812,63.9321688921346,82.0003782054654,230.558297417973,5.34917173603619,321.271079180714,28.8404245235661,321.271079180714,tess2018206212942-s0001-4-1-0120-s_ffi
5.0,1325.4281422974059,0.0004696201649494469,1.0,1325.417278807497,1325.438088985138,236.0,199.0,900.0,-1.4219101071396349e-06,9.79555619881723e-07,7.77829696560363e-07,-4.50792291496562e-08,9.922654507274957e-07,9.767614665451045e-07,-2.81029071761332e-06,7.081140007300033e-07,6.794622871432969e-07,0.999999999994403,4.560844933322123e-12,2.365919143245703e-12,21.4536157754661,58.181300731094,310.998391005929,64.4114724127489,82.0218124964454,230.479471420915,5.67472009748042,319.874173417755,28.8625225812346,319.874173417755,tess2018206215942-s0001-4-1-0120-s_ffi
6.0,1325.4489758926375,0.00046989042311906815,1.0,1325.4381121332765,1325.4589223109185,236.0,199.0,900.0,-1.416973729799945e-06,1.186044059926489e-06,1.098699138314791e-06,-6.498358531788245e-08,1.0493207523576467e-06,1.014910614872389e-06,-2.6609718220218552e-06,9.491198768591465e-07,8.195193702504541e-07,0.999999999994682,4.604002189761405e-12,2.766409235703441e-12,21.6841440333474,58.5143647181273,309.4035840312,64.8874791170667,82.0475286557789,230.394096360588,5.99012861598838,318.505306988125,28.884269372966,318.505306988125,tess2018206222942-s0001-4-1-0120-s_ffi
7.0,1325.4698094888008,0.000470161612611264,1.0,1325.4589454590584,1325.479755636699,236.0,199.0,900.0,-1.35677988956346e-06,1.1448244096726909e-06,1.1395213268435204e-06,-1.28684155682513e-07,1.1046240458044887e-06,1.070991103122678e-06,-2.7286099582335002e-06,1.3439349842804763e-06,1.3201627612366786e-06,0.999999999994062,4.48558953527737e-12,3.786291656202362e-12,21.9167952034772,58.8594037550258,307.853765765546,65.3600389221294,82.0772663780827,230.302489812439,6.29557743586896,317.163851279066,28.9057113548174,317.163851279066,tess2018206225942-s0001-4-1-0120-s_ffi
8.0,1325.4906430858941,0.00047043373342603445,1.0,1325.479778784839,1325.5005889624786,236.0,198.0,900.0,-1.4368003606896449e-06,8.3047371974907e-07,7.729375133876399e-07,-4.950147658600465e-08,1.1373558114092118e-06,1.1243640156080085e-06,-2.74794100598825e-06,1.1220077718761052e-06,1.0888174568939353e-06,0.9999999999945044,4.2554218068774335e-12,3.146536363808971e-12,22.1513929012715,59.2150078685929,306.347815059877,65.8290188544403,82.1107788999932,230.204957404777,6.59126142974415,315.84917568144,28.9268892681732,315.84917568144,tess2018206232942-s0001-4-1-0120-s_ffi
9.0,1325.511476683832,0.00047070669825188816,1.0,1325.5006121106185,1325.5214222882605,236.0,198.0,900.0,-1.44351370085123e-06,1.0865768277201428e-06,1.0477407023270085e-06,-5.13130441668638e-08,1.2570343755184387e-06,1.209494694446863e-06,-2.675199206475345e-06,8.962584619903811e-07,8.586374956289384e-07,0.9999999999945346,4.287884204657083e-12,2.666805620901174e-12,22.3877690144637,59.5798669107964,304.884555358637,66.2943017873845,82.1478325338049,230.101792779396,6.87738747960604,314.560650043544,28.9478386922313,314.560650043544,tess2018206235942-s0001-4-1-0120-s_ffi
