# TESS Quaternions downsampled to end-user cadences
# Sector: 	1
# Camera: 	3
# Cadence:	FFI
# This file contains TESS quaternions that have been downsampled from the TESS
# native 2-second exposures to the end-user product cadence (e.g .20s/120s/FFI)
# For more information See:
#     - The github repo that created this file at https://github.com/tylerapritchard/TESSQuats
#     - The TESS Instrument Handbook at https://archive.stsci.edu/missions-and-data/tess
#     - The original quaternion engineering files at https://archive.stsci.edu/missions-and-data/tess/data-products
# Please check the TESS Sector Data Release Notes at https://archive.stsci.edu/tess/tess_drn.html
# for information regarding the telescope pointing and tracking (in addition to other image quality information) as
# for some sectors/cameras alternative camera quaternions are substituted for a variety of programattic reasons.

# Column Descriptions:
# Cadence #: Cadence index from the source tpf
# MidTime: The exposure midpoint in spacecraft corrected time (i.e. tpf.time)
# TimeCorr: The Time Correction for spacecraft to Barycentric time at that cadence
# Quat_Start: The timestamp of the earliest quaternion used in the bin
# Quat_Stop: The timestamp of the last quaternion used in the bin
# Quat_MIN_FOM: The worst Figure of Merit from the source quaternions
# Quat_MIN_NUM_GSUSED: The lowest number of guide stars used in the source quaternions
# Quat_NBinned: The number of quaternions binned into this final result.
# Quat[1-4]_Med: The Quaternion #[1-4] median value from the binned values 
# Quat[1-4]_StdDev: The standard deviation of Quaternion #[1-4] binned values
# Quat[1-4]_SigClip: The Sigma-Clipped Standard Deviation of Quaternion #[1-4] binned values
# Quat[1-4]_CRM_Med: The Quaternion #[1-4] median value with the highest and lowest values excluded 

# Earth_Distance: Distance to Earth in Earth Radii 

# Earth_Camera_Angle: Angle of Earth from Camera Boresight in Degrees 

# Earth_Camera_Azimuth: Azimuth of Earth around Camera Boresight in Degrees 

# Moon_Distance: Distance to Moon in Earth Radii 

# Moon_Camera_Angle: Angle of Moon from Camera Boresight in Degrees 

# Moon_Camera_Azimuth: Azimuth of Moon around Camera Boresight in Degrees 

# Earth_Spacecraft_Angle: Angle of Earth from Spacecraft Boresight in Degrees 

# Earth_Spacecraft_Azimuth: Azimuth of Earth around Spacecraft Boresight in Degrees 

# Moon_Spacecraft_Angle: Angle of Moon from Sacecraft Boresight in Degrees 

# Moon_Spacecraft_Azimuth: Azimuth of Moon around Spacecraft Boresight in Degrees 

# FFIFile: The FFI file assosciated with this observing cadence
# Processing Date-Time: 2024-07-13

Cadence,MidTime,TimeCorr,Segment,Quat_Start,Quat_Stop,Quat_MIN_FOM,Quat_MIN_NUM_GSUSED,Quat_NBinned,Quat1_Med,Quat1_StdDev,Quat1_StdDev_SigClip,Quat2_Med,Quat2_StdDev,Quat2_StdDev_SigClip,Quat3_Med,Quat3_StdDev,Quat3_StdDev_SigClip,Quat4_Med,Quat4_StdDev,Quat4_StdDev_SigClip,Earth_Distance,Earth_Camera_Angle,Earth_Camera_Azimuth,Moon_Distance,Moon_Camera_Angle,Moon_Camera_Azimuth,Earth_Spacecraft_Angle,Earth_Spacecraft_Azimuth,Moon_Spacecraft_Angle,Moon_Spacecraft_Azimuth,FFIFile
0.0,1325.326203035862,0.002702770521864295,1.0,1325.3131063915596,1325.333916569199,236.0,198.0,900.0,-2.53979952859676e-07,1.1250580343735579e-06,1.1250580343735579e-06,1.04890362010106e-06,8.900527409096772e-07,8.856998994740256e-07,-9.11313657510395e-07,1.1258995319819602e-06,1.1210038806298582e-06,0.999999999997954,2.311000253686884e-12,1.7832729967279912e-12,20.3395949761793,76.0242953557264,326.107104527076,61.9856623799602,67.526267462394,236.14128362921,3.94266915721338,327.151431721363,28.7473558734787,327.151431721363,tess2018206192942-s0001-3-1-0120-s_ffi
1.0,1325.347036787381,0.002703197067603469,1.0,1325.3339397173388,1325.354749894981,236.0,198.0,900.0,-2.738318788779495e-07,1.1587032071698465e-06,1.1587032071698465e-06,1.129149472216075e-06,9.043839928950408e-07,9.043839928950408e-07,-8.687052175862624e-07,1.3707075334229726e-06,1.3512962343327467e-06,0.999999999997557,2.4470263204773236e-12,1.7594586379632028e-12,20.556560185391,75.8386711388888,324.515158933244,62.4762629463177,67.5109808613849,236.091173629009,4.31017227762753,325.636227652931,28.7714596464857,325.636227652931,tess2018206195942-s0001-3-1-0120-s_ffi
2.0,1325.3678705388995,0.002703623613342643,1.0,1325.354773043121,1325.3755832207603,236.0,199.0,900.0,-2.338107798143335e-07,1.0334292456205607e-06,7.53630777332264e-07,1.0267589985015051e-06,7.477455181156844e-07,7.442027957731746e-07,-8.52364514932224e-07,1.4579280347634178e-06,1.1904071381568312e-06,0.9999999999981235,6.271799203524868e-12,1.386733904507365e-12,20.7766606743965,75.667136659055,322.954262340043,62.9643652412635,67.4981669045662,236.031043627298,4.66702687722935,324.151496121695,28.7949565927111,324.151496121695,tess2018206202942-s0001-3-1-0120-s_ffi
3.0,1325.3887042901852,0.002704049926251173,1.0,1325.3756063689002,1325.3964165465409,236.0,199.0,900.0,-1.6681892993380198e-07,1.0815836610944277e-06,8.672245836761835e-07,1.141548117906655e-06,7.74982055816244e-07,7.048805686106135e-07,-8.356238581921954e-07,9.857607575808185e-07,8.814526404799115e-07,0.99999999999844,2.5966839700310312e-12,1.1392270458141302e-12,20.9996761449503,75.5091194253176,321.424067179431,63.4497370653159,67.4876557736919,235.961375265281,5.01332112064694,322.696648112082,28.8179224333732,322.696648112082,tess2018206205942-s0001-3-1-0120-s_ffi
4.0,1325.409538041703,0.002704476471990347,1.0,1325.3964396946808,1325.417249872323,236.0,199.0,900.0,-1.4830064491039348e-07,1.0554531914237776e-06,1.0388490954342698e-06,1.077085220836345e-06,8.202024176565672e-07,6.669429917055814e-07,-8.111156656817975e-07,9.908822902706307e-07,9.402439328814918e-07,0.999999999998347,2.333605509880351e-12,1.2117062789142132e-12,21.2253952994276,75.3640489297856,319.924183918151,63.9321688921346,67.4792887323296,235.882634555829,5.34917173603619,321.271079180714,28.8404245235661,321.271079180714,tess2018206212942-s0001-3-1-0120-s_ffi
5.0,1325.4303717929888,0.002704902784898877,1.0,1325.4172730204614,1325.4380831981023,236.0,199.0,900.0,-2.0716538863580402e-07,9.86151784437025e-07,7.826108687071654e-07,1.08068178229341e-06,7.21044581673027e-07,7.21044581673027e-07,-8.29046001364775e-07,9.586213282406718e-07,8.835399147497129e-07,0.999999999998506,3.494515242060165e-12,1.2328705211789449e-12,21.4536157754661,75.231359930465,318.454186284114,64.4114724127489,67.472917565437,235.795271307121,5.67472009748042,319.874173417755,28.8625225812346,319.874173417755,tess2018206215942-s0001-3-1-0120-s_ffi
6.0,1325.4512055442756,0.0027053290978074074,1.0,1325.4381063462422,1325.4589165238842,236.0,199.0,900.0,-1.7667335704084552e-07,1.1925498892848079e-06,1.102745222929236e-06,1.11230432013324e-06,7.538517006713286e-07,7.274914105468918e-07,-7.083721630747975e-07,1.12438005420378e-06,1.0495741503003671e-06,0.999999999998393,3.2751946861038542e-12,1.5675772656486231e-12,21.6841440333474,75.1104952489593,317.013616194796,64.8874791170667,67.4684040154864,235.699718751542,5.99012861598838,318.505306988125,28.884269372966,318.505306988125,tess2018206222942-s0001-3-1-0120-s_ffi
7.0,1325.472039295562,0.0027057554107159376,1.0,1325.4589396720241,1325.4797498496637,236.0,199.0,900.0,-1.026571791432485e-07,1.1529058711505152e-06,1.1529058711505152e-06,1.095379560133855e-06,9.402238393255131e-07,9.198202710793466e-07,-7.725982596614565e-07,1.3850830784086971e-06,1.3850830784086971e-06,0.9999999999977085,2.4082539996097326e-12,1.721829843053726e-12,21.9167952034772,75.0009081221995,315.601988372853,65.3600389221294,67.4656192230063,235.596393351465,6.29557743586896,317.163851279066,28.9057113548174,317.163851279066,tess2018206225942-s0001-3-1-0120-s_ffi
8.0,1325.492873046614,0.002706181490793824,1.0,1325.4797729978034,1325.5005831754443,236.0,199.0,900.0,-1.487847794528785e-07,8.347879121183983e-07,7.877227429596267e-07,1.0902510988555848e-06,9.214904684221926e-07,8.97465674114679e-07,-7.525721581344779e-07,1.263976451045384e-06,1.1682769276330196e-06,0.999999999998251,2.56649452638831e-12,1.3706353101718982e-12,22.1513929012715,74.9020641471428,314.218794640783,65.8290188544403,67.4644431771661,235.485694755864,6.59126142974415,315.84917568144,28.9268892681732,315.84917568144,tess2018206232942-s0001-3-1-0120-s_ffi
9.0,1325.513706797667,0.0027066075708717108,1.0,1325.5006063235842,1325.5214165012248,236.0,199.0,900.0,-1.65427840444603e-07,1.0926632975739526e-06,1.0506620588548883e-06,1.1112462818253651e-06,8.541461871099276e-07,8.361026556855622e-07,-7.486187089170685e-07,1.2517067589144857e-06,1.2018009069188457e-06,0.99999999999823,3.1832227383301567e-12,1.4007765454908469e-12,22.3877690144637,74.8134428577646,312.863507904035,66.2943017873845,67.4647641799122,235.368005884168,6.87738747960604,314.560650043544,28.9478386922313,314.560650043544,tess2018206235942-s0001-3-1-0120-s_ffi
