# TESS Quaternions downsampled to end-user cadences
# Sector: 	1
# Camera: 	1
# Cadence:	FFI
# This file contains TESS quaternions that have been downsampled from the TESS
# native 2-second exposures to the end-user product cadence (e.g .20s/120s/FFI)
# For more information See:
#     - The github repo that created this file at https://github.com/tylerapritchard/TESSQuats
#     - The TESS Instrument Handbook at https://archive.stsci.edu/missions-and-data/tess
#     - The original quaternion engineering files at https://archive.stsci.edu/missions-and-data/tess/data-products
# Please check the TESS Sector Data Release Notes at https://archive.stsci.edu/tess/tess_drn.html
# for information regarding the telescope pointing and tracking (in addition to other image quality information) as
# for some sectors/cameras alternative camera quaternions are substituted for a variety of programattic reasons.

# Column Descriptions:
# Cadence #: Cadence index from the source tpf
# MidTime: The exposure midpoint in spacecraft corrected time (i.e. tpf.time)
# TimeCorr: The Time Correction for spacecraft to Barycentric time at that cadence
# Quat_Start: The timestamp of the earliest quaternion used in the bin
# Quat_Stop: The timestamp of the last quaternion used in the bin
# Quat_MIN_FOM: The worst Figure of Merit from the source quaternions
# Quat_MIN_NUM_GSUSED: The lowest number of guide stars used in the source quaternions
# Quat_NBinned: The number of quaternions binned into this final result.
# Quat[1-4]_Med: The Quaternion #[1-4] median value from the binned values 
# Quat[1-4]_StdDev: The standard deviation of Quaternion #[1-4] binned values
# Quat[1-4]_SigClip: The Sigma-Clipped Standard Deviation of Quaternion #[1-4] binned values
# Quat[1-4]_CRM_Med: The Quaternion #[1-4] median value with the highest and lowest values excluded 

# Earth_Distance: Distance to Earth in Earth Radii 

# Earth_Camera_Angle: Angle of Earth from Camera Boresight in Degrees 

# Earth_Camera_Azimuth: Azimuth of Earth around Camera Boresight in Degrees 

# Moon_Distance: Distance to Moon in Earth Radii 

# Moon_Camera_Angle: Angle of Moon from Camera Boresight in Degrees 

# Moon_Camera_Azimuth: Azimuth of Moon around Camera Boresight in Degrees 

# Earth_Spacecraft_Angle: Angle of Earth from Spacecraft Boresight in Degrees 

# Earth_Spacecraft_Azimuth: Azimuth of Earth around Spacecraft Boresight in Degrees 

# Moon_Spacecraft_Angle: Angle of Moon from Sacecraft Boresight in Degrees 

# Moon_Spacecraft_Azimuth: Azimuth of Moon around Spacecraft Boresight in Degrees 

# FFIFile: The FFI file assosciated with this observing cadence
# Processing Date-Time: 2024-07-13

Cadence,MidTime,TimeCorr,Segment,Quat_Start,Quat_Stop,Quat_MIN_FOM,Quat_MIN_NUM_GSUSED,Quat_NBinned,Quat1_Med,Quat1_StdDev,Quat1_StdDev_SigClip,Quat2_Med,Quat2_StdDev,Quat2_StdDev_SigClip,Quat3_Med,Quat3_StdDev,Quat3_StdDev_SigClip,Quat4_Med,Quat4_StdDev,Quat4_StdDev_SigClip,Earth_Distance,Earth_Camera_Angle,Earth_Camera_Azimuth,Moon_Distance,Moon_Camera_Angle,Moon_Camera_Azimuth,Earth_Spacecraft_Angle,Earth_Spacecraft_Azimuth,Moon_Spacecraft_Angle,Moon_Spacecraft_Azimuth,FFIFile
0.0,1325.328789628751,0.005295150447636843,1.0,1325.313100604524,1325.3339107821648,236.0,198.0,900.0,-2.519535164810655e-06,1.1242673496074702e-06,1.119198669608755e-06,-1.5807635449422e-06,6.735049342264692e-07,6.539124518497102e-07,8.823151498550526e-08,1.2919650443723395e-06,1.2785577205828286e-06,0.9999999999946585,3.5177003754191036e-12,2.6638685314743596e-12,20.3395949761793,115.913149725274,143.013722123608,61.9856623799602,50.3290066986971,85.4981165854287,3.94266915721338,327.151431721363,28.7473558734787,327.151431721363,tess2018206192942-s0001-1-1-0120-s_ffi
1.0,1325.349623084575,0.005295281298458576,1.0,1325.3339339303045,1325.3547441079454,236.0,198.0,900.0,-2.46368488738251e-06,1.160085512548448e-06,1.160085512548448e-06,-1.5649878452094e-06,1.0571900672748642e-06,1.0109363677577904e-06,3.027004071641205e-08,1.4470052619677754e-06,1.3058620685335519e-06,0.9999999999948295,4.95989821730683e-12,3.801643037459939e-12,20.556560185391,115.025773006753,141.598870452776,62.4762629463177,50.2827474135962,85.4780833409566,4.31017227762753,325.636227652931,28.7714596464857,325.636227652931,tess2018206195942-s0001-1-1-0120-s_ffi
2.0,1325.3704565394673,0.005295411217957735,1.0,1325.3547672560853,1325.375577433726,236.0,197.0,900.0,-2.51249023085651e-06,1.035950778006747e-06,7.491729775812537e-07,-1.551324188204335e-06,1.2142784166166557e-06,1.0338725631619335e-06,6.926580841136805e-08,1.075133640654493e-06,9.701412169887789e-07,0.9999999999948095,6.748036493498907e-12,2.6763577939203215e-12,20.7766606743965,114.144285058164,140.233617526469,62.9643652412635,50.2305450720035,85.4482719378745,4.66702687722935,324.151496121695,28.7949565927111,324.151496121695,tess2018206202942-s0001-1-1-0120-s_ffi
3.0,1325.3912899924965,0.005295539274811745,1.0,1325.375600581866,1325.3964107595052,236.0,198.0,900.0,-2.546633428086915e-06,1.081232414587174e-06,8.542254276229171e-07,-1.5562623123851852e-06,5.107503252410261e-07,4.4234107653961315e-07,2.668150122907055e-08,1.1758795649143668e-06,1.0497514816470135e-06,0.999999999995063,3.701783621103448e-12,2.177058669996367e-12,20.9996761449503,113.269804684237,138.915420737774,63.4497370653159,50.1726555082689,85.4091871784571,5.01332112064694,322.696648112082,28.8179224333732,322.696648112082,tess2018206205942-s0001-1-1-0120-s_ffi
4.0,1325.412123444129,0.005295665934681892,1.0,1325.3964339076451,1325.4172440852874,236.0,197.0,900.0,-2.55824356946613e-06,1.0524862622750551e-06,1.0411950801212932e-06,-1.54086599879834e-06,6.576041386626415e-07,6.451792586843225e-07,2.2460903020214452e-08,1.1375838092470549e-06,9.679409566043919e-07,0.9999999999948874,3.2297866462468794e-12,2.172592890873259e-12,21.2253952994276,112.403297080405,137.641856055722,63.9321688921346,50.10933007475,85.3613088833338,5.34917173603619,321.271079180714,28.8404245235661,321.271079180714,tess2018206212942-s0001-1-1-0120-s_ffi
5.0,1325.4329568948306,0.0052957916632294655,1.0,1325.4172672334273,1325.438077411068,236.0,197.0,900.0,-2.497652802551705e-06,9.88079365945963e-07,7.852881721542849e-07,-1.56387721507606e-06,5.429715234236285e-07,5.081362076003241e-07,1.456440800895405e-08,1.1002306702758182e-06,1.0563194403883546e-06,0.9999999999950875,3.4042765891896256e-12,2.442476120853944e-12,21.4536157754661,111.545588485379,136.41061910006,64.4114724127489,50.0408148035591,85.3050925153059,5.67472009748042,319.874173417755,28.8625225812346,319.874173417755,tess2018206215942-s0001-1-1-0120-s_ffi
6.0,1325.4537903441355,0.005295915994793177,1.0,1325.438100559208,1325.4589107368486,236.0,197.0,900.0,-2.51228976141901e-06,1.1909879859133415e-06,1.0992559787382699e-06,-1.6090461868311898e-06,7.350072238961903e-07,6.168925213722679e-07,6.54822871652797e-08,1.1722779636627078e-06,1.1360624482833035e-06,0.999999999994803,4.286961892465468e-12,2.66669706200599e-12,21.6841440333474,110.697379892761,135.219524350647,64.8874791170667,49.9673497303557,85.2409698965453,5.99012861598838,318.505306988125,28.884269372966,318.505306988125,tess2018206222942-s0001-1-1-0120-s_ffi
7.0,1325.4746237925096,0.005296039395034313,1.0,1325.4589338849885,1325.4797440626294,236.0,198.0,900.0,-2.612279130685545e-06,1.151810301333584e-06,1.151810301333584e-06,-1.56935375304246e-06,1.1689602720631256e-06,1.1689602720631256e-06,-5.818837717228855e-08,1.2397030275168644e-06,1.1975815498138825e-06,0.9999999999942365,3.877449677842588e-12,3.4085535649787377e-12,21.9167952034772,109.859259790222,134.066502945311,65.3600389221294,49.8891683620315,85.1693499957002,6.29557743586896,317.163851279066,28.9057113548174,317.163851279066,tess2018206225942-s0001-1-1-0120-s_ffi
8.0,1325.4954572394845,0.005296161398291588,1.0,1325.479767210769,1325.5005773884086,236.0,198.0,900.0,-2.53288151571351e-06,8.339199060196721e-07,7.795022699678423e-07,-1.472587918021905e-06,9.716735724462447e-07,9.547776284152559e-07,-1.587919958358855e-07,1.2367803161454912e-06,1.21695280254344e-06,0.9999999999946716,3.259969961465849e-12,2.8103853792315283e-12,22.1513929012715,109.031715922229,132.949599436604,65.8290188544403,49.8064972707647,85.0906197653499,6.59126142974415,315.84917568144,28.9268892681732,315.84917568144,tess2018206232942-s0001-1-1-0120-s_ffi
9.0,1325.516290685529,0.005296282470226288,1.0,1325.5006005365485,1325.5214107141906,236.0,199.0,900.0,-2.512571467331975e-06,1.092657861403656e-06,1.0534893750150476e-06,-1.523111653902425e-06,6.199050068404603e-07,5.839091924843979e-07,-2.028714457257685e-07,1.3993965806577037e-06,1.3472238993810862e-06,0.999999999994549,3.5576261001596764e-12,2.9530158289508976e-12,22.3877690144637,108.215146100392,131.866967815889,66.2943017873845,49.7195557977038,85.0051450140428,6.87738747960604,314.560650043544,28.9478386922313,314.560650043544,tess2018206235942-s0001-1-1-0120-s_ffi
10.0,1325.5371241301768,0.005296402145177126,1.0,1325.5214338623305,1325.5422440399711,236.0,198.0,900.0,-2.47389328004804e-06,8.847515822959033e-07,8.395379330504812e-07,-1.520241373305255e-06,4.947515346279281e-07,4.764184185886005e-07,-2.18122064313922e-07,1.1259011955327794e-06,1.0388135984771045e-06,0.999999999995109,3.355708555786582e-12,2.357851529986643e-12,22.6257634700199,107.409868085702,130.816867028665,66.7557852429692,49.6285558525001,84.9132712970639,7.1541720325108,313.297646808704,28.9685905527238,313.297646808704,tess2018207002942-s0001-1-1-0120-s_ffi
11.0,1325.557957574359,0.005296521354466677,1.0,1325.5422671881097,1325.563077365752,236.0,199.0,900.0,-2.4927769185188454e-06,1.213559078698167e-06,1.1312669541087631e-06,-1.539403146204885e-06,6.487243956441239e-07,6.209208445595908e-07,-1.619254432721415e-07,1.1285326410089483e-06,1.1058300220803774e-06,0.999999999994877,3.30337564632017e-12,2.531515255607861e-12,22.8652239845755,106.61612859492,129.797656185307,67.2133802538731,49.5337017945308,84.8153248167798,7.42183891386225,312.059542880643,28.9891715904319,312.059542880643,tess2018207005942-s0001-1-1-0120-s_ffi
