,MidTime,TimeCorr,CadenceNo,Quality,ExpTime,Sector,Camera,Quat_Start,Quat_Stop,Quat_MIN_FOM,Quat_MIN_NUM_GSUSED,Quat_NBinned,Quat1_Med,Quat1_StdDev,Quat1_SigClip,Quat2_Med,Quat2_StdDev,Quat2_SigClip,Quat3_Med,Quat3_StdDev,Quat3_SigClip,Quat4_Med,Quat4_StdDev,Quat4_SigClip
0,1899.323286828585,0.004899206571280956,0.0,2048.0,long,22,1248,1899.3128830378184,1899.3336700660873,236.0,198.0,899.0,-2.76875030705018e-06,2.3595890426187335e-06,2.3180334484796878e-06,-1.60624030084526e-06,1.6380822587774634e-06,1.4131848760027055e-06,2.73734002775409e-06,2.270403626985645e-06,2.2473619374245255e-06,0.999999999989733,1.587933896320725e-11,9.894524492099117e-12
1,1899.3440991621464,0.004899861291050911,1.0,0.0,long,22,1248,1899.298982580718,1899.3197811830569,60.0,41.0,900.0,-2.935586719507745e-06,3.326951175186797e-05,2.0091893483219683e-06,-1.557259649130445e-06,1.1851089172799799e-05,1.603882177553228e-06,2.90254724490403e-06,2.3221348734599026e-05,2.069924189164214e-06,0.9999999999878104,7.48205488425517e-09,1.1161023488997623e-11
2,1899.3649114947766,0.00490051694214344,2.0,0.0,long,22,1248,1899.30941081706,1899.3301978453303,236.0,197.0,899.0,-2.78503245653959e-06,2.210465240517138e-06,2.1449083479322943e-06,-1.55581948624575e-06,1.6768583121605004e-06,1.549294933742234e-06,2.81738502109047e-06,2.1538754494229566e-06,2.1295148210211576e-06,0.999999999989613,1.5109607673464298e-11,9.810999493834557e-12
3,1899.385784861166,0.0049011739902198315,3.0,0.0,long,22,1248,1899.3094571133372,1899.3302441416074,236.0,197.0,899.0,-2.78625517519558e-06,2.2085493071272425e-06,2.1430511510165635e-06,-1.55581948624575e-06,1.6697574891287e-06,1.534541835057902e-06,2.82517902727442e-06,2.1549279283641767e-06,2.130623742503241e-06,0.999999999989581,1.5101409500954613e-11,9.80700734632126e-12
4,1899.4065971910022,0.004901832435280085,4.0,0.0,long,22,1248,1899.3093876689218,1899.330174697192,236.0,197.0,899.0,-2.78503245653959e-06,2.2146428214528392e-06,2.1491702460015653e-06,-1.55581948624575e-06,1.6785499708867729e-06,1.551165678869537e-06,2.81738502109047e-06,2.154953416898536e-06,2.1305939852154624e-06,0.999999999989613,1.5111621243612767e-11,9.813517861516947e-12
5,1899.427409519907,0.004902491811662912,5.0,0.0,long,22,1248,1899.3093876689218,1899.3301978453303,236.0,197.0,900.0,-2.7826977997497603e-06,2.2137217117051373e-06,2.148266563335132e-06,-1.555063277236045e-06,1.6784202980459188e-06,1.5511928365557107e-06,2.802346592720225e-06,2.153814064988177e-06,2.1294624294707374e-06,0.9999999999896165,1.510779562359633e-11,9.811695970319724e-12
6,1899.4482828830369,0.004903152119368315,6.0,0.0,long,22,1248,1899.3094571133372,1899.3302441416074,236.0,197.0,899.0,-2.78625517519558e-06,2.2085493071272425e-06,2.1430511510165635e-06,-1.55581948624575e-06,1.6697574891287e-06,1.534541835057902e-06,2.82517902727442e-06,2.1549279283641767e-06,2.130623742503241e-06,0.999999999989581,1.5101409500954613e-11,9.80700734632126e-12
7,1899.469095210079,0.004903813358396292,7.0,0.0,long,22,1248,1899.3093876689218,1899.330174697192,236.0,197.0,899.0,-2.78503245653959e-06,2.2146428214528392e-06,2.1491702460015653e-06,-1.55581948624575e-06,1.6785499708867729e-06,1.551165678869537e-06,2.81738502109047e-06,2.154953416898536e-06,2.1305939852154624e-06,0.999999999989613,1.5111621243612767e-11,9.813517861516947e-12
8,1899.4899075357243,0.004904475994408131,8.0,0.0,long,22,1248,1899.3093876689218,1899.3301978453303,236.0,197.0,900.0,-2.7826977997497603e-06,2.2137217117051373e-06,2.148266563335132e-06,-1.555063277236045e-06,1.6784202980459188e-06,1.5511928365557107e-06,2.802346592720225e-06,2.153814064988177e-06,2.1294624294707374e-06,0.9999999999896165,1.510779562359633e-11,9.811695970319724e-12
9,1899.5107808960602,0.004905139096081257,9.0,0.0,long,22,1248,1899.3094571133372,1899.3302441416074,236.0,197.0,899.0,-2.78625517519558e-06,2.2085493071272425e-06,2.1430511510165635e-06,-1.55581948624575e-06,1.6697574891287e-06,1.534541835057902e-06,2.82517902727442e-06,2.1549279283641767e-06,2.130623742503241e-06,0.999999999989581,1.5101409500954613e-11,9.80700734632126e-12
10,1899.5315932203084,0.004905803129076958,10.0,0.0,long,22,1248,1899.3093876689218,1899.330174697192,236.0,197.0,899.0,-2.78503245653959e-06,2.2146428214528392e-06,2.1491702460015653e-06,-1.55581948624575e-06,1.6785499708867729e-06,1.551165678869537e-06,2.81738502109047e-06,2.154953416898536e-06,2.1305939852154624e-06,0.999999999989613,1.5111621243612767e-11,9.813517861516947e-12
11,1899.5524055431597,0.0049064685590565205,11.0,0.0,long,22,1248,1899.3093876689218,1899.330174697192,236.0,197.0,899.0,-2.78503245653959e-06,2.2146428214528392e-06,2.1491702460015653e-06,-1.55581948624575e-06,1.6785499708867729e-06,1.551165678869537e-06,2.81738502109047e-06,2.154953416898536e-06,2.1305939852154624e-06,0.999999999989613,1.5111621243612767e-11,9.813517861516947e-12
12,1899.5732789011672,0.004907133989036083,12.0,0.0,long,22,1248,1899.3094571133372,1899.3302441416074,236.0,197.0,899.0,-2.78625517519558e-06,2.2085493071272425e-06,2.1430511510165635e-06,-1.55581948624575e-06,1.6697574891287e-06,1.534541835057902e-06,2.82517902727442e-06,2.1549279283641767e-06,2.130623742503241e-06,0.999999999989581,1.5101409500954613e-11,9.80700734632126e-12
13,1899.5940912226215,0.004907800815999508,13.0,0.0,long,22,1248,1899.3093876689218,1899.330174697192,236.0,197.0,899.0,-2.78503245653959e-06,2.2146428214528392e-06,2.1491702460015653e-06,-1.55581948624575e-06,1.6785499708867729e-06,1.551165678869537e-06,2.81738502109047e-06,2.154953416898536e-06,2.1305939852154624e-06,0.999999999989613,1.5111621243612767e-11,9.813517861516947e-12
14,1899.6149035436101,0.00490846810862422,14.0,0.0,long,22,1248,1899.3093876689218,1899.330174697192,236.0,197.0,899.0,-2.78503245653959e-06,2.2146428214528392e-06,2.1491702460015653e-06,-1.55581948624575e-06,1.6785499708867729e-06,1.551165678869537e-06,2.81738502109047e-06,2.154953416898536e-06,2.1305939852154624e-06,0.999999999989613,1.5111621243612767e-11,9.813517861516947e-12
15,1899.6357768992893,0.004909135866910219,15.0,0.0,long,22,1248,1899.3094571133372,1899.3302441416074,236.0,197.0,899.0,-2.78625517519558e-06,2.2085493071272425e-06,2.1430511510165635e-06,-1.55581948624575e-06,1.6697574891287e-06,1.534541835057902e-06,2.82517902727442e-06,2.1549279283641767e-06,2.130623742503241e-06,0.999999999989581,1.5101409500954613e-11,9.80700734632126e-12
16,1899.656589218881,0.004909804556518793,16.0,0.0,long,22,1248,1899.3093876689218,1899.330174697192,236.0,197.0,899.0,-2.78503245653959e-06,2.2146428214528392e-06,2.1491702460015653e-06,-1.55581948624575e-06,1.6785499708867729e-06,1.551165678869537e-06,2.81738502109047e-06,2.154953416898536e-06,2.1305939852154624e-06,0.999999999989613,1.5111621243612767e-11,9.813517861516947e-12
17,1899.677401538007,0.004910473711788654,17.0,0.0,long,22,1248,1899.3093876689218,1899.330174697192,236.0,197.0,899.0,-2.78503245653959e-06,2.2146428214528392e-06,2.1491702460015653e-06,-1.55581948624575e-06,1.6785499708867729e-06,1.551165678869537e-06,2.81738502109047e-06,2.154953416898536e-06,2.1305939852154624e-06,0.999999999989613,1.5111621243612767e-11,9.813517861516947e-12
18,1899.6982748918235,0.004911143332719803,18.0,0.0,long,22,1248,1899.3094571133372,1899.3302441416074,236.0,197.0,899.0,-2.78625517519558e-06,2.2085493071272425e-06,2.1430511510165635e-06,-1.55581948624575e-06,1.6697574891287e-06,1.534541835057902e-06,2.82517902727442e-06,2.1549279283641767e-06,2.130623742503241e-06,0.999999999989581,1.5101409500954613e-11,9.80700734632126e-12
19,1899.7190872100182,0.004911813419312239,19.0,0.0,long,22,1248,1899.30941081706,1899.3301978453303,236.0,197.0,899.0,-2.78503245653959e-06,2.210465240517138e-06,2.1449083479322943e-06,-1.55581948624575e-06,1.6768583121605004e-06,1.549294933742234e-06,2.81738502109047e-06,2.1538754494229566e-06,2.1295148210211576e-06,0.999999999989613,1.5109607673464298e-11,9.810999493834557e-12
20,1899.7398995277472,0.004912483971565962,20.0,0.0,long,22,1248,1899.3093876689218,1899.330174697192,236.0,197.0,899.0,-2.78503245653959e-06,2.2146428214528392e-06,2.1491702460015653e-06,-1.55581948624575e-06,1.6785499708867729e-06,1.551165678869537e-06,2.81738502109047e-06,2.154953416898536e-06,2.1305939852154624e-06,0.999999999989613,1.5111621243612767e-11,9.813517861516947e-12
21,1899.760772879701,0.00491315545514226,21.0,0.0,long,22,1248,1899.3094571133372,1899.3302441416074,236.0,197.0,899.0,-2.78625517519558e-06,2.2085493071272425e-06,2.1430511510165635e-06,-1.55581948624575e-06,1.6697574891287e-06,1.534541835057902e-06,2.82517902727442e-06,2.1549279283641767e-06,2.130623742503241e-06,0.999999999989581,1.5101409500954613e-11,9.80700734632126e-12
22,1899.7815851964988,0.004913826938718557,22.0,0.0,long,22,1248,1899.30941081706,1899.3301978453303,236.0,197.0,899.0,-2.78503245653959e-06,2.210465240517138e-06,2.1449083479322943e-06,-1.55581948624575e-06,1.6768583121605004e-06,1.549294933742234e-06,2.81738502109047e-06,2.1538754494229566e-06,2.1295148210211576e-06,0.999999999989613,1.5109607673464298e-11,9.810999493834557e-12
23,1899.8023975128308,0.004914498887956142,23.0,0.0,long,22,1248,1899.30941081706,1899.3301978453303,236.0,197.0,899.0,-2.78503245653959e-06,2.210465240517138e-06,2.1449083479322943e-06,-1.55581948624575e-06,1.6768583121605004e-06,1.549294933742234e-06,2.81738502109047e-06,2.1538754494229566e-06,2.1295148210211576e-06,0.999999999989613,1.5109607673464298e-11,9.810999493834557e-12
