,MidTime,TimeCorr,CadenceNo,Quality,ExpTime,Sector,Camera,Quat_Start,Quat_Stop,Quat_MIN_FOM,Quat_MIN_NUM_GSUSED,Quat_NBinned,Quat1_Med,Quat1_StdDev,Quat1_SigClip,Quat2_Med,Quat2_StdDev,Quat2_SigClip,Quat3_Med,Quat3_StdDev,Quat3_SigClip,Quat4_Med,Quat4_StdDev,Quat4_SigClip
0,1569.4483951479865,0.005224516149610281,0.0,0.0,long,10,1211,1569.438001390864,1569.4588115671554,224.0,198.0,900.0,-7.297314438284664e-07,3.4427438945281376e-06,3.4427438945281376e-06,2.59914383582923e-06,1.6639061989455997e-06,1.6288184582551642e-06,-3.659910288824375e-06,3.1183855196996646e-06,3.102229775701268e-06,0.9999999999825615,1.6633385411419527e-11,1.1316201262923649e-11
1,1569.4692284724163,0.005224620457738638,1.0,0.0,long,10,1211,1569.4309180605578,1569.451728236849,208.0,179.0,900.0,-8.45592206579345e-07,3.13733784113763e-05,3.623727693333768e-06,2.59914383582923e-06,1.8529353741382942e-05,1.5365437170716314e-06,-3.53361336417714e-06,1.3462429721801162e-05,3.3889083658022287e-06,0.9999999999811331,4.840271212925522e-09,1.551511740128915e-11
2,1569.490061796846,0.005224727559834719,2.0,0.0,long,10,1211,1569.4413578709105,1569.4621680472019,224.0,198.0,900.0,-7.18120555790272e-07,3.412093934072979e-06,3.412093934072979e-06,2.5514460346318397e-06,1.6558849329726444e-06,1.6204484607570003e-06,-3.672981966652275e-06,3.175315004138383e-06,3.159466194230107e-06,0.999999999982801,1.725087781827405e-11,1.1271677717436902e-11
3,1569.510895121275,0.005224837921559811,3.0,0.0,long,10,1211,1569.4413578709105,1569.4621680472019,224.0,198.0,900.0,-7.18120555790272e-07,3.412093934072979e-06,3.412093934072979e-06,2.5514460346318397e-06,1.6558849329726444e-06,1.6204484607570003e-06,-3.672981966652275e-06,3.175315004138383e-06,3.159466194230107e-06,0.999999999982801,1.725087781827405e-11,1.1271677717436902e-11
4,1569.5317284457037,0.005224951077252626,4.0,2048.0,long,10,1211,1569.4413578709105,1569.4621680472019,224.0,198.0,900.0,-7.18120555790272e-07,3.412093934072979e-06,3.412093934072979e-06,2.5514460346318397e-06,1.6558849329726444e-06,1.6204484607570003e-06,-3.672981966652275e-06,3.175315004138383e-06,3.159466194230107e-06,0.999999999982801,1.725087781827405e-11,1.1271677717436902e-11
5,1569.5525617701328,0.005225067492574453,5.0,2048.0,long,10,1211,1569.4413578709105,1569.4621680472019,224.0,198.0,900.0,-7.18120555790272e-07,3.412093934072979e-06,3.412093934072979e-06,2.5514460346318397e-06,1.6558849329726444e-06,1.6204484607570003e-06,-3.672981966652275e-06,3.175315004138383e-06,3.159466194230107e-06,0.999999999982801,1.725087781827405e-11,1.1271677717436902e-11
6,1569.5733950945623,0.005225186236202717,6.0,18432.0,long,10,1211,1569.4413578709105,1569.4621680472019,224.0,198.0,900.0,-7.18120555790272e-07,3.412093934072979e-06,3.412093934072979e-06,2.5514460346318397e-06,1.6558849329726444e-06,1.6204484607570003e-06,-3.672981966652275e-06,3.175315004138383e-06,3.159466194230107e-06,0.999999999982801,1.725087781827405e-11,1.1271677717436902e-11
7,1569.5942284189914,0.0052253082394599915,7.0,18432.0,long,10,1211,1569.4413578709105,1569.4621680472019,224.0,198.0,900.0,-7.18120555790272e-07,3.412093934072979e-06,3.412093934072979e-06,2.5514460346318397e-06,1.6558849329726444e-06,1.6204484607570003e-06,-3.672981966652275e-06,3.175315004138383e-06,3.159466194230107e-06,0.999999999982801,1.725087781827405e-11,1.1271677717436902e-11
8,1569.6150617434214,0.005225432571023703,8.0,18560.0,long,10,1211,1569.4413578709105,1569.4621680472019,224.0,198.0,900.0,-7.18120555790272e-07,3.412093934072979e-06,3.412093934072979e-06,2.5514460346318397e-06,1.6558849329726444e-06,1.6204484607570003e-06,-3.672981966652275e-06,3.175315004138383e-06,3.159466194230107e-06,0.999999999982801,1.725087781827405e-11,1.1271677717436902e-11
9,1569.6358950678505,0.005225559696555138,9.0,18560.0,long,10,1211,1569.4413578709105,1569.4604550849715,224.0,198.0,826.0,-7.2671518779953e-07,3.413186721305944e-06,3.413186721305944e-06,2.5926054610209503e-06,1.6616225593272909e-06,1.6231814931104153e-06,-3.694517980142185e-06,3.1823879084960525e-06,3.1651539296993983e-06,0.9999999999827089,1.70203525138895e-11,1.1419944559778283e-11
10,1569.65672839228,0.0052256896160542965,10.0,18560.0,long,10,1211,1569.4396449086787,1569.441450463463,224.0,198.0,79.0,-1.01501944733676e-06,3.0114720993562726e-06,3.0114720993562726e-06,2.59845933017717e-06,1.7209178087451462e-06,1.7209178087451462e-06,-3.32294880647466e-06,2.652803565135804e-06,2.652803565135804e-06,0.999999999984784,1.4327069643751804e-11,7.998726519484732e-12
11,1569.6775617167095,0.005225821863859892,11.0,18560.0,long,10,1211,1569.4309412086961,1569.4343439850197,208.0,179.0,148.0,-8.584912975793199e-07,7.495275722543922e-05,1.5725124802687664e-05,2.707316072963775e-06,4.424239969735026e-05,1.4835561487145071e-05,-3.694041957925515e-06,3.193068813128902e-05,1.7823100348716612e-05,0.9999999999665949,1.096845436514964e-08,5.625769548542382e-10
12,1569.6983950411395,0.005225956905633211,12.0,18560.0,long,10,1211,1569.432515282097,1569.432515282097,240.0,200.0,1.0,6.03137136905708e-07,0.0,0.0,5.41506743510301e-06,0.0,0.0,-1.35970087256077e-05,0.0,0.0,0.999999999892717,0.0,0.0
